Image ID,Feature,Landmark Index,X,Y
1,4,57,192,277
1,4,58,181,277
1,4,59,169,278
1,4,60,159,274
1,4,61,180,270
1,4,62,190,272
1,4,63,200,270
1,4,64,222,271
1,4,65,201,268
1,4,66,191,269
1,4,67,180,269
2,0,0,121,262
2,0,1,126,294
2,0,2,132,326
2,0,3,139,359
2,0,4,151,391
2,0,5,173,418
2,0,6,198,442
2,0,7,226,463
2,0,8,259,466
2,0,9,293,455
2,0,10,321,430
2,0,11,344,401
2,0,12,362,369
2,0,13,369,334
2,0,14,370,296
2,0,15,367,261
2,0,16,363,227
2,1,17,127,248
2,1,18,136,228
2,1,19,157,221
2,1,20,180,221
2,1,21,205,224
2,1,22,245,223
2,1,23,268,213
2,1,24,291,206
2,1,25,316,208
2,1,26,335,220
2,2,27,227,246
2,2,28,229,267
2,2,29,232,288
2,2,30,235,310
2,2,31,209,327
2,2,32,224,329
2,2,33,239,331
2,2,34,254,325
2,2,35,268,319
2,3,36,153,257
2,3,37,166,248
2,3,38,183,245
2,3,39,197,254
2,3,40,183,260
2,3,41,166,262
2,3,42,265,246
2,3,43,277,234
2,3,44,294,232
2,3,45,309,238
2,3,46,297,246
2,3,47,280,247
2,4,48,194,374
2,4,49,210,365
2,4,50,228,357
2,4,51,243,359
2,4,52,256,353
2,4,53,279,354
2,4,54,301,358
2,4,55,284,382
2,4,56,264,396
2,4,57,248,400
2,4,58,232,401
2,4,59,213,393
2,4,60,203,374
2,4,61,229,368
2,4,62,244,368
2,4,63,258,364
2,4,64,294,361
2,4,65,261,377
2,4,66,246,383
2,4,67,231,382
3,0,0,581,429
3,0,1,588,580
3,0,2,612,733
3,0,3,632,882
3,0,4,677,1025
3,0,5,759,1146
3,0,6,865,1248
3,0,7,991,1328
3,0,8,1120,1352
3,0,9,1247,1333
3,0,10,1368,1253
3,0,11,1469,1149
3,0,12,1550,1028
3,0,13,1600,883
3,0,14,1626,734
3,0,15,1652,582
3,0,16,1655,430
3,1,17,674,318
3,1,18,755,276
3,1,19,852,283
3,1,20,943,309
3,1,21,1031,352
3,1,22,1227,349
3,1,23,1312,306
3,1,24,1403,280
3,1,25,1501,281
3,1,26,1581,327
3,2,27,1130,470
3,2,28,1130,576
3,2,29,1131,685
3,2,30,1130,792
3,2,31,1027,852
3,2,32,1078,868
3,2,33,1130,884
3,2,34,1181,866
3,2,35,1227,849
3,3,36,786,461
3,3,37,848,428
3,3,38,922,438
3,3,39,974,498
3,3,40,907,504
3,3,41,837,497
3,3,42,1279,500
3,3,43,1332,440
3,3,44,1405,430
3,3,45,1465,461
3,3,46,1415,495
3,3,47,1344,502
3,4,48,927,1028
3,4,49,1003,1002
3,4,50,1074,986
3,4,51,1127,1003
3,4,52,1179,988
3,4,53,1245,1004
3,4,54,1318,1029
3,4,55,1249,1110
3,4,56,1182,1149
3,4,57,1124,1155
3,4,58,1067,1147
3,4,59,997,1109
3,4,60,964,1039
3,4,61,1071,1052
3,4,62,1126,1058
3,4,63,1179,1055
3,4,64,1282,1040
3,4,65,1180,1061
3,4,66,1126,1066
3,4,67,1072,1059
4,0,0,575,466
4,0,1,578,611
4,0,2,599,760
4,0,3,626,905
4,0,4,670,1047
4,0,5,743,1171
4,0,6,844,1280
4,0,7,967,1370
4,0,8,1109,1406
4,0,9,1253,1390
4,0,10,1382,1312
4,0,11,1503,1213
4,0,12,1597,1094
4,0,13,1650,954
4,0,14,1689,809
4,0,15,1728,665
4,0,16,1748,515
4,1,17,647,323
4,1,18,746,280
4,1,19,856,284
4,1,20,962,314
4,1,21,1061,367
4,1,22,1280,364
4,1,23,1382,326
4,1,24,1484,314
4,1,25,1585,325
4,1,26,1666,380
4,2,27,1163,485
4,2,28,1161,584
4,2,29,1158,687
4,2,30,1156,790
4,2,31,1037,835
4,2,32,1087,857
4,2,33,1143,879
4,2,34,1199,866
4,2,35,1250,851
4,3,36,772,457
4,3,37,845,411
4,3,38,934,421
4,3,39,1000,499
4,3,40,919,507
4,3,41,833,499
4,3,42,1313,520
4,3,43,1388,452
4,3,44,1475,453
4,3,45,1536,512
4,3,46,1480,543
4,3,47,1396,537
4,4,48,906,1006
4,4,49,999,967
4,4,50,1081,951
4,4,51,1136,970
4,4,52,1194,961
4,4,53,1268,990
4,4,54,1347,1042
4,4,55,1259,1122
4,4,56,1182,1149
4,4,57,1119,1151
4,4,58,1059,1139
4,4,59,982,1099
4,4,60,947,1019
4,4,61,1075,1011
4,4,62,1131,1018
4,4,63,1191,1019
4,4,64,1307,1045
4,4,65,1186,1068
4,4,66,1126,1068
4,4,67,1069,1058
5,0,0,624,361
5,0,1,622,404
5,0,2,630,446
5,0,3,641,489
5,0,4,655,530
5,0,5,676,567
5,0,6,704,599
5,0,7,739,625
5,0,8,779,633
5,0,9,820,622
5,0,10,859,596
5,0,11,894,565
5,0,12,920,527
5,0,13,934,481
5,0,14,942,434
5,0,15,950,386
5,0,16,954,338
5,1,17,632,323
5,1,18,649,301
5,1,19,676,296
5,1,20,703,300
5,1,21,727,311
5,1,22,791,303
5,1,23,820,284
5,1,24,853,275
5,1,25,887,280
5,1,26,912,301
5,2,27,761,347
5,2,28,760,381
5,2,29,760,415
5,2,30,759,449
5,2,31,730,466
5,2,32,747,471
5,2,33,764,474
5,2,34,784,467
5,2,35,803,460
5,3,36,663,359
5,3,37,682,348
5,3,38,703,348
5,3,39,721,364
5,3,40,702,365
5,3,41,681,366
5,3,42,812,355
5,3,43,831,336
5,3,44,852,332
5,3,45,871,342
5,3,46,856,351
5,3,47,835,354
5,4,48,709,517
5,4,49,731,512
5,4,50,752,507
5,4,51,770,510
5,4,52,788,503
5,4,53,816,504
5,4,54,849,503
5,4,55,820,531
5,4,56,794,546
5,4,57,774,551
5,4,58,755,550
5,4,59,733,541
5,4,60,719,520
5,4,61,753,525
5,4,62,771,525
5,4,63,790,521
5,4,64,839,508
5,4,65,792,523
5,4,66,772,528
5,4,67,754,527
6,0,0,82,244
6,0,1,78,279
6,0,2,76,315
6,0,3,76,352
6,0,4,85,387
6,0,5,104,419
6,0,6,131,446
6,0,7,163,466
6,0,8,199,476
6,0,9,233,472
6,0,10,265,455
6,0,11,293,432
6,0,12,314,406
6,0,13,329,377
6,0,14,339,346
6,0,15,344,315
6,0,16,348,284
6,1,17,114,222
6,1,18,136,211
6,1,19,161,213
6,1,20,184,222
6,1,21,206,235
6,1,22,255,240
6,1,23,278,233
6,1,24,301,230
6,1,25,322,234
6,1,26,338,249
6,2,27,229,260
6,2,28,227,281
6,2,29,226,301
6,2,30,224,323
6,2,31,190,338
6,2,32,204,342
6,2,33,219,347
6,2,34,233,346
6,2,35,247,346
6,3,36,139,253
6,3,37,156,249
6,3,38,173,252
6,3,39,187,264
6,3,40,170,263
6,3,41,153,261
6,3,42,264,273
6,3,43,281,265
6,3,44,297,267
6,3,45,311,276
6,3,46,296,279
6,3,47,280,277
6,4,48,146,370
6,4,49,175,368
6,4,50,200,367
6,4,51,215,372
6,4,52,232,371
6,4,53,252,377
6,4,54,273,383
6,4,55,248,407
6,4,56,226,416
6,4,57,208,416
6,4,58,191,412
6,4,59,167,398
6,4,60,155,374
6,4,61,197,379
6,4,62,213,382
6,4,63,230,383
6,4,64,263,385
6,4,65,228,396
6,4,66,211,397
6,4,67,194,393
7,0,0,289,194
7,0,1,291,217
7,0,2,296,241
7,0,3,302,264
7,0,4,310,288
7,0,5,324,308
7,0,6,343,325
7,0,7,363,340
7,0,8,384,344
7,0,9,407,340
7,0,10,429,326
7,0,11,448,310
7,0,12,464,290
7,0,13,473,266
7,0,14,478,241
7,0,15,481,215
7,0,16,481,190
7,1,17,296,176
7,1,18,307,168
7,1,19,323,167
7,1,20,338,171
7,1,21,353,176
7,1,22,389,173
7,1,23,407,168
7,1,24,425,167
7,1,25,444,168
7,1,26,461,175
7,2,27,374,192
7,2,28,374,209
7,2,29,374,227
7,2,30,374,244
7,2,31,362,255
7,2,32,369,258
7,2,33,376,259
7,2,34,385,257
7,2,35,393,255
7,3,36,317,193
7,3,37,328,188
7,3,38,341,188
7,3,39,352,197
7,3,40,340,199
7,3,41,327,199
7,3,42,404,196
7,3,43,415,187
7,3,44,428,186
7,3,45,441,192
7,3,46,430,197
7,3,47,417,198
7,4,48,346,287
7,4,49,358,280
7,4,50,370,275
7,4,51,379,278
7,4,52,387,275
7,4,53,401,279
7,4,54,417,284
7,4,55,403,300
7,4,56,390,307
7,4,57,380,308
7,4,58,370,307
7,4,59,358,301
7,4,60,351,287
7,4,61,370,282
7,4,62,379,283
7,4,63,388,282
7,4,64,411,285
7,4,65,388,293
7,4,66,379,295
7,4,67,370,294
